feature,absolute_held,relative_held
_area_km2,22133262.473497856,0.09999682121944578
bio_nspp,230.12127464466036,0.039171691114836225
bio_rls,348.69706840395594,0.050371800826000804
phys_seamounts,559.9999999999907,0.16556291390728203
phys_vents,1.9999999999999993,0.04999999999999998
phys_scape1,0,0
phys_scape2,6780,0.2635466065459069
phys_scape3,0,0
phys_scape4,5133,0.3125875403446806
phys_scape5,946,0.10185185185185185
phys_scape6,285,0.12258064516129032
phys_scape7,68,0.17571059431524547
phys_scape8,21,0.018850987432675045
phys_scape9,1106,0.7916964924838941
phys_scape10,4,0.3333333333333333
phys_scape11,1500,0.3878975950349108
